full_text,label
perang gaza seret kawasan timur geopolitik rawan konflik militer sisi perintah presiden as joe biden hadap tekan politik sekutu serang houthi,2
truusss swjauh israel taklik palesrina atau kalah kalah sisukung negara adidaya mampus pakai popok,0
tamu atur tuan rumah oknum oknum sudah kayak yahudi israel usir tuan rumah suka begitu repot,0
sad drun sad sudut pandang tanya kau palestina liga arab tolak diri negara israel tolak solusi negara israel,2
baris tokoh kamu dukung benci tokoh kamu dukung benci,0
bagus israel,2
anda umat islam palestina terima ungsi yahudi tanah palestina iblis yahudi hitler sengaja basmi kaun yahudi kelak masyarakat lihat laku yahudi berte,0
mampu donasi palestina yayasan bantu,1
mimpi sampai hilang peta israel atlas,0
ngerugiin saya tidak tahu malu yaa orang sudah kasih fakta apa tetap beli produk terangterangan dana genosida palestina gila salut mentingin perut,0
ayo blokir kawan fokus sebar berita palestina,1
dhee berita palestina seru turut palestina merdeka tenang,2
nadahq kamu bornagain lentera,2
video paliwood saya suruh percaya data saji benar klarifikasi juga un data gaza ministries of heath palsu fakta serang tel korban sipil pulang banding bela,0
serang putus asa hizbullah karena roket tembus mukim israel paksa nembak hutan mati pohon hewan serangga giat lingkung marah,0
winda buat amerika israel,0
ah anda kaya woyy ingat tidak muhamad husen orang indonesia warganegara palestina kalau cerita saya pecaya sama karena tinggal kalau kamu hidup cuma andal berita med,0
memang kecut terrorist hamas berani face to face tameng warga lokal korban,0
latin arab tulis ibrani palestina tanah israel uang koin kertas mandat inggris palestina buat bank anglo palestine cabang jewish colonial trust li,2
winda lho hekata tribunisrael dah keokkok nyerang libanon,0
simpat korban palestina sah demo anarkis ganggu aktifitas masyarakat langsung tindak univnya,2
tuhan tuhan eslam dengar tuhan israel tuhan eslam,0
ri hamas kenapa lawan rakyat palestina hadap israel kamu tanahrumah anda rampas orang diam,0
an bodoh saudara iman korban bain israel kalau tidak bodoh bodoh,0
kebo kamu hamas nuklir israel sakit hati penuh benci,0
ri pro israel jatah makan laknatullah,0
pesawat bawa bantu perintah indonesia rakyat palestina kelola polri ton ton darat mesir pimpin kadiv hubinter polri irjen pol krishna murti,1
vaduka masalhnya israel jajah negara tetangga israel anda diboongin nonton kalau bhs inggris,0
israel campur perintah palestina rumahrumah rakyat palestina roboh paksa dunia aniaya tuduh fitnah enak kuasa me,0
winda bukti alhamdulillah mohon maaf israel israel pesek indonesia maksud sedih nyata sabar,0
gin dukung teroris hamas anggap langgar uud kamu waras memang goblokk,0
alibi israel palestina diposting laki arab bewok serammungkin lacur jalang cebong betina turun pki nimempunyai idam pria inibadan kekar bewok brg panjan,0
tentara israel kalah telak pasu ormas hamas berani bombardir sipil anak emak palestina tank merkava modalin rpg hamas tentara lgbt,0
didu langkah cerdas strategis tengah tikai putus harus pikir out of the box sehingga damai langkah kuno konvensional lanjut dengar orang said didu tanda sadar membi,1
twit tolol bagaimana hncur lebur israel bombardir gaza pakai roket,0
ar anda hamas,2
putin bicara tolak banding ukraina,2
palestina sudah merdeka paham monyet,0
ar palestina pakai uud gilir minoritas negeri persekusi hak ibadah lupa uud warga negara adil tempat humanity first islam first,0
harap israel balas serah iran lihat kota telaviv tanah,0
bunuhin manula wanita anakanak bangga takbir tangkap begini pipis celana islam madzhab ngajarkan bunuhin manula wanita hijab anakanak takbir heran su,0
winda sudah hamas tinggal terowongan ngapain ngebom atas tanah tolol bodoh bain israhell super tolol,0
tentara setan zionis israel kaum pelangi pakai popok kayak lemas,0
perang hamasisrael masuk perang kota gaza penuh terowongan tanah mudah tang perang gaza,2
oc sedih nemu komen terorist ingin jait mulut,0
media kecamuk perang penuh emosional penuh amarah sedih juang palestina cahaya gelap tetap cahaya dunia gelap saudara ilah ajar kes,1
haji jokowi aksi bela palestina monas,2
tik perang tentara bebas palestina acung jempol ledak tank merkava jarak ranjau pasang persis tempat simpan amunisi babi zion dalam tewas gosong,0
palestina dukung soekarno gilir soekarno islam orang arab kecut muka berani quote,0
cuma orang iq percaya propaganda hamas,0
israel serang gaza respon serang hamas nakutin orang palestina balas orang palestina solusi meja twostate solution sd aman hamas,2
agama waris lahir siantar manado kristen lahir bal hindu lahir tibet budha lahir israel yahudi manusia pil,2
bobby hurahura gaming keseleo truth gitar,2
israel haus eehhh lagak sok pahlawan beri bantu vidiobasi keledai manggutmanggut waras ketawa tertawa,0
lugo darat israel serang memberitahukan warga sipil gaza singkir pamflet sambung telepon angkat senjata dunia laku tau israel hamas,2
bantu warga palestina mustahil hamas teroris banyak terowongan sadar warga palestina sekongkol hamas lebih sakit ketua hamas langsung sholat tahajud bantai warga israel saat,0
ri indonesia sumbang kutu sumpah serapah israel indonesia dukung teroris hamas agama,0
israel winda kejam hancur rumahsakit gereja sejarah tua dunia pasar kamp ungsi bm jajah dari eropa kristen muslim yahudi hidup penuh cinta kasih nazareth bethlehem,0
umat islam boikot makan teroris israel saudara bantai palestina saudara palestina darah air mata jaga al aqso amanah rasulullah unat ikar allah boikot boikot boikoooooooooot mohon,0
clk winda id pasu bangga tentara isrl laknatullah mundur akibat rpg,0
wajib israel tidak aku indonesia begitu,2
lagu from the river to the sea bukti impi palestina genocide israel awal wujud tuduh jajah agar alas lenyap yahudi makan minum kerja israel anjing saja terima kasih palestina rendah hewan,0
kafirun kutuk silah narasi silah bela yahudi hak bela palestina yahudi jahat nyata dukung kaum kafirun kafirun menang tanah palestina,0
sumo jadi yahya dinwar brada medan gaza bukan negeri seperti klian,2
tarigu surga bugil,0
shiwie bawa suku kn ormasnya dukung palestina bawa nasional presiden dukung palestina kau laskar bawa suku bela jajah,0
winda gaya israel pakai bom taruh tas israel pakai rudal iran sarang teroris pelihara macan makan macan,0
goblok goblok in orang nyadar lihat kau sudah fakta palestina tapi kau tolak sangkal nihh tentara israel mukulin orang yahudi bela tuhh zionis warga,0
usul anda pintar dukung hamas brangkat kegaza bentuk wujud dukung anda,0
anda bodoh orang kristen palestina,0
gencat senjata selesai jalanjalan gaza,0
biar gaza palestina musnah khianat allah rasul ummat islam salah dosa besar hadap allah taala id terjemah sari makbar mujaddid,0
perhati kalimat tani selamalamanya roh benar muhammad bagai nabi ikut zaman roh benar khusus umat seperti bani israel melainka,2
tholomew ir silah kirim rudal israel rudal balas rudal canggih,0
didu israel dah kalah doa muslim kabul tidak waras ikut doa masjid tidak doa islam pakai doa inti sipengecut biadab jerit tolong pada allah rumah masjid akirnya aku islam,0
tulis latin arab tulis ibrani palestina tanah israel uang koin kertas mandat inggris palestina buat bank anglo palestine cabang jewish colonial trust limited bank milik,2
winda anak perempuan palestina pasu duduk zionis lepas klaim tuduh salah salah patten juang lawan palestina lapor dokumentasi kes,0
koq begitu berita heroik hamas,0
bapa seng derita warga gaza sorak soray bunuh bayi sipil rih,0
orang gaza benci hamas orang nusantara benci pangeran diponegoro karno teuku umar keumalahayati,2
vaduka bela israel sampai segitunya heran,0
rais buka mata masyarakat dunia derita nasib bangsa palestina,1
teliti genetika darah yahudi dari eran elhaik tahun dna israel modern asal eropa timur bangsa khazar asal palestina,2
deh ab jenggot jajah pelaestina zionis balas budi indonesia dukung palestina,1
islam kafir yahudi kristen kasih yahudi,1
winda bagus ajabasmi ribut tikus serasa singabravo israel,0
palestina peta national geographic nama cakup wilayah eksistensi negara seperti hal nama western sahara caucasus begitu,2
winda eropa kutup mana dukung juang palestina umat islam dunia dukung,1
ri suruh henti serang rafah tapi hamas stop kirim rudal makes perfect sense,0
genosida rafah perintah keluar nyata resmi holokaus rakyat palestina rafah marufamin ri ri,0
id bangsa israel lawan,0
winda uwww keren sangat israel aku indonesia keeep crying zionist fan boy kontol,0
bulan hamas takluk israel bukan,0
winda teroris negara israel yahudi zionis serang orangorang lemah dosa dunia zionis,0
ri asik dehsudah rohingya sekarang nambah palestinamantap menlu,0
hamas teror memang kecam kaga,0
israel hancur musnah hamas jalur gaza israel gagal bungkam hamas pesek liar xland hamas pesek jaya indonistan,0
winda umat kristen palestina bantai israel orang tinggal,0
winda israel negara jajah,0
winda indo demo palestina wajib bawa bendera indo pasang tiang tetap bendera indo rumah dah rebah mulu,2
tidak nanya salah warga sipil gaza ribu lho,2
israel perang an negara an ras yahudi,2
warga israel,2
benar two state target palestina merdeka wilayah army,1
palestine eretz yisrael palestina tanah israel tulis uang koin kertas mandat inggris palestina buat bank anglo palestine cabang jewish colonial trust limited bank milik orang yahudi nama bank leumi,2
gembira west bank terima kembali narapidana palestina bebas israel ramal mudah damai state resolution israelpalestina,1
mhn keji israel orang palestina id erti,2
ri mbuhpeeang belum lahir pelihara damai israel palestina senduri negara mediator,2
bobby spp gratis uang buku uang kursi uang baju bangun gratis bangun gratis hemat banyak keluar rumah tangga alih beli makan,1
ha palestina merdeka benar palestina satusatunya negara jajah israel palestina jajah israel,2
rang hamas henti industri teknologi israel startup cb bas tel aviv akuisisi raksasa ritel fortune gap,2
jokowi hebat soekarno jokowi setia pasang soekarno tukang kawin jokowi isu pki soekarno terpa isu pki jokowi sukses pindah ikn soekarno gagal soekarno juru bicara proklamasi,1
id bijak israel truk logistik kalok henti idf tembak rawan gaza mesir konfirmasi,2
upaya paksa tunda operasi rafah hamas terbit video sandera salah satu berkewarganegaraan amerika utara video publikasi https,2
wilayah nama palestina paska ronta simon bar kokhba negara palestina deklarasi merdeka,2
calon presiden anies palestina ganjar sebut palestina prabowo sebut,2
ar syarat anggota brigade alqassam part,2
foto manusia tidak hamas,2
winda al quran sebut palestina muhammad saw juga kabah kiblat al quds,2
ri palestina masuk wilayah mesir kalah perang dunia,2
hybrid anti hamaspki,2
winda dsana hamas hancur tank idf,1
palestina senjata juang merdeka freedom palestina,1
gencat senjata tentara hamas awal sandera serah sandera organisasi manusia bagai antara bahwa hamas serang festival musik nova mukim kibbutz culik anak wanita sandera,2
borong dul buy back prinsipal lokal hasbara boikot palestina merdeka,1
tmr rencana allah tutup outlet bisnis afiliasi zionis israel rezeki allah atur kerja halal yakin,1
id iran pikir kali frontal balas israel gaza gambar resiko ganggu israel,2
muasal bangsa palestina simak jelas bangsa arab lebih paham,2
jenggot bebas sandera syarat,1
reaksi orang palestina serang,2
palestina arab saudi gantung bantu aman as ancam iran syiah,2
fakta imajinasi,2
mending nampung ungsi palestina,1
arab palestina tanah jawab ottoman runtuh alias tanah asai britania anda ottoman runtuh pakai ngungsi negara,2
flare negara negara arab lenyap negara israel jepang bom amerika luluh lantak damai jerman kalah rusia damai palestina kelompok islam,2
urim winda coba baca peta jelas wilayah philistine israel,2
moga lindung allah aza wajala moga menang,1
saya tuju kalau palestina juang,1
pulau kuril sakhalin caplok uni soviet okinawa caplok as bagi sekutu protes coy duduk asli kana palestine bukti sejarah artifak usia,2
polri indonesia mendkung palestina merdeka mobil polisi lindas bendera israel adalah wajar simbul wakil asa rakyat indonesia,1
kuat yakin allah menang palestina zionis israel khawatir maha iman,1
winda curhatan orang kristiani palestina,2
serang israel kali main main usah kirim kapal induk tanding iran memback up hamas,2
kan yunis jalur gaza selatan warga gaza tinggal rumahrumah hancur sesuai,2
aksi solidaritas palestina hamas beda sangat,2
kamu broamerika israel amerika butuh otak orang israel israel butuh suport amerika bidangkedua dua butuh untung,2
negara arab muslim tetangga palestina imani al quran al maidah,2
