Id,indegree,outdegree,Degree,Cluster
Tita83079013,54,2,56,3
Ndons_Back,26,0,26,1
SoftWarNews,18,0,18,0
Israel,14,0,14,0
CNNIndonesia,12,0,12,0
prabowo,22,0,22,1
tvOneNews,12,0,12,1
Narasi_winda,35,0,35,0
bnsphrxyz,10,0,10,2
Greschinov,11,0,11,0
bengkeldodo,26,7,33,1
LoudMinorities,15,0,15,2
antikadrunbang,9,2,11,2
Reivolusi,0,12,12,1
DeHoutman_id,25,0,25,2
alfatih212426,9,2,11,2
awank2017,9,0,9,0
detikcom,12,0,12,0
mickolv_idas,0,13,13,1
Chikzt,1,14,15,0
muchlis_ar,13,0,13,0
DanielPither,1,8,9,0
mx00711,14,17,31,3
Sentjoko,9,1,10,0
SammiSoh,21,1,22,2
FeriSuryaSugia1,3,11,14,0
JohnBanting03,4,10,14,0
AyaniMel,9,15,24,2
aniesbaswedan,12,0,12,1
agama_nusantara,13,0,13,3
sakkusaitna,18,1,19,3
RefublikAteis,17,1,18,3
BayuAngora,15,0,15,3
spektrumku,13,0,13,3
Valhallaah,42,1,43,3
PaijoKhentir,21,0,21,3
Avolanza,9,0,9,0
jokowi,35,0,35,0
penjelajahhh,0,12,12,0
Muhammad_Saewad,9,0,9,0
AbidZikril62016,1,16,17,3
NusantaraSaja,9,26,35,0
Kappa_2023,19,28,47,2
duniabulat5,0,9,9,0
gangsterrandom,0,9,9,0
OmJ_JeNggot,12,0,12,0
jogjaplaza,0,20,20,1
tepig_pignite,1,15,16,3
asasfuro,3,12,15,2
JinNonik,5,10,15,2
JokoPintar2,6,6,12,2
aesculapiusw,9,5,14,2
BramantyaNigel,2,8,10,0
Menlu_RI,26,0,26,0
ListyoSigitP,9,0,9,0
gibran_tweet,10,0,10,1
Fahrihamzah,9,0,9,1
kakilangitimur,1,11,12,0
trikartikatika1,3,9,12,0
incognito_grey,1,13,14,2
DzakwanFirst,1,8,9,0
ilhampurnama887,12,1,13,0
brojong20,2,7,9,0
Kimberley_2024,10,0,10,1
Panglima6789,0,15,15,1
Amox1L1N,4,9,13,2
tr1ey,0,14,14,3
__anomali__,7,32,39,2
Wisnuhid,1,11,12,2
kadrunmampos,1,8,9,0
ridho45916919,6,4,10,2
wachyumkiji,0,10,10,1
ajegilelu1,14,2,16,2
d3vilicious,1,9,10,0
kurawa,14,0,14,1
lamegogosa,4,12,16,0
enigma8592,0,9,9,0
ruyasagit900,0,9,9,1
Gojokaisen86,1,8,9,1
are_inismyname,26,0,26,1
AndreasSolusi,9,0,9,1
P4P4B0W0_2024,20,0,20,1
florieliciouss,18,0,18,1
Bank_Joee_,22,0,22,1
99propaganda,25,0,25,1
The_Savior__,1,11,12,0
EN538474N6,0,15,15,1
AsbabulKop51425,4,7,11,2
MarioInferno,3,30,33,2
JLion555,1,10,11,2
seeksixsuck,9,0,9,1
HabanglaliK,9,9,18,2
rendyandrew,1,10,11,0
zarryhendrik,13,0,13,1
DivHumas_Polri,13,0,13,0
bnsphrxyzzz,32,13,45,0
DivHumas_IPS,1,8,9,0
Froyo64,12,10,22,2
PFTee,0,13,13,3
98garislurus,0,11,11,0
bunianggg,0,10,10,0
yulius595970893,0,10,10,0
Afgan772,0,10,10,1
BANGSAygSUJUD,20,0,20,1
tdkistimewa,2,9,11,0
ZamZam62338134,1,9,10,0
NinaW70771758,4,5,9,4
_on_toy_,6,6,12,4
elsay80,6,6,12,4
Israel_112875,6,4,10,4
MonkyBisness,6,6,12,4
skrdrod,6,5,11,4
Dj_Asphury,2,7,9,0
dionsumir,0,11,11,1
paradox_2020,0,14,14,1
wardoneforget,1,8,9,0
IrawanRommi,8,13,21,1
isaansori156249,0,16,16,1
Apokrifa23,3,12,15,2
blackangler3,0,10,10,1
KEANU2749717,0,9,9,0
helenr1903,11,0,11,3
alifnuranhar1,0,15,15,0
Balistta,3,6,9,2
wahyu16084726,1,9,10,0
chivalone1,4,6,10,4
rijalsunandr,0,10,10,0
KondiSemara,1,16,17,3
Kerajaan_Israel,5,11,16,0
eowyn_targaryen,0,9,9,1
AnakBawang_0705,11,0,11,2
MinminCha94972,1,10,11,2
hadesiamah,0,9,9,0
namchanis,0,11,11,1
LaskarGAZA,0,17,17,1
Hamba60455437,4,12,16,0
talangijoo,25,0,25,0
Horasio70,1,13,14,3
BFbu88,1,9,10,1
fmn99_gaming,5,6,11,2
WarIsraelHamas,2,11,13,0
erlanishere,17,0,17,0
ran21827785,1,10,11,0
johnhomebapa,8,10,18,2
ScioCogitoCredo,5,8,13,2
dimaz_gaza,1,17,18,1
kabentar_gelap,0,11,11,0
PJumadi3,0,9,9,1
nurcahya23264,0,11,11,1
imamDouma,4,8,12,2
B1516EFG,0,11,11,1
1231_rina,0,11,11,1
lokiluki583,0,10,10,1
IntanNuraini091,0,10,10,1
Apry3j4,0,11,11,0
eeh_ito,0,11,11,2
GHarold7072,1,9,10,0
orthodoxiv,0,12,12,3
gwgituloooh,0,9,9,1
Kimberley_PS08,6,10,16,1
Jelantik5,9,0,9,3
ProfOnline_id,16,2,18,0
jonnypengacara,7,5,12,0
anarchyhumanist,1,11,12,2
triwidi98540720,1,9,10,0
Anwarbohebo,0,13,13,3
anfangerxyz,0,14,14,3
